Source Port,Destination Port,Packet Length,Anomaly Scores,Timestamp_encoded,Source IP Address_encoded,Destination IP Address_encoded,Protocol_encoded,Packet Type_encoded,Traffic Type_encoded,Payload Data_encoded,Malware Indicators_encoded,Alerts/Warnings_encoded,Attack Type_encoded,Attack Signature_encoded,Action Taken_encoded,Severity Level_encoded,User Information_encoded,Device Information_encoded,Network Segment_encoded,Geo-location Data_encoded,Proxy Information_encoded,Firewall Logs_encoded,IDS/IPS Alerts_encoded,Log Source_encoded
3133,46077,1425,72.25,33360,31661,35314,2,1,0,28013,1,1,0,0,2,0,1947,17897,0,2747,6968,1,0,1
40832,28015,118,96.27,39279,29421,33780,2,1,2,12162,0,1,2,0,2,2,6545,18251,0,1858,15227,1,1,0
39911,27107,1386,67.43,39858,34599,1257,1,0,0,10184,0,1,0,0,0,2,3359,17945,2,2977,20148,0,1,1
23021,31279,433,89.86,39851,5639,38049,2,0,0,23273,1,0,1,0,2,1,7847,12697,2,2799,20148,0,0,0
32552,15521,531,87.23,11414,16375,10647,2,0,1,1024,1,1,2,0,0,0,22713,13869,2,4141,8377,0,0,0
56607,33023,282,44.4,6837,21609,4537,1,0,2,15293,0,0,0,0,2,1,2660,18112,0,7315,8118,1,0,0
64351,43307,1487,45.42,14793,19107,37617,0,0,2,12068,0,1,1,1,0,1,8938,26446,2,7599,20148,0,0,0
19954,11594,563,25.7,25482,34078,12150,2,0,0,29364,0,1,1,1,1,2,14143,15092,2,2015,20148,0,0,0
63062,49527,1313,69.2,27438,2421,14406,1,0,2,7084,0,0,0,1,2,1,28762,19028,2,7314,20148,0,1,0
39208,61136,350,77.06,32103,17434,36945,2,0,2,17466,1,0,0,0,1,2,16882,13519,0,2889,20148,0,0,0
12932,47900,373,3.87,8271,39986,38451,1,1,0,18192,0,0,2,0,1,2,28865,31050,1,5876,20148,0,0,1
11482,16459,1155,25.93,15140,5653,28031,0,0,0,20848,1,0,2,0,0,1,13153,6301,1,4782,14277,1,1,0
18768,8138,521,60.57,5377,22333,38785,1,1,1,8028,0,0,0,1,1,0,31120,21063,2,6040,20148,0,0,1
41615,15184,1346,67.73,39510,20632,25704,0,1,1,20297,0,1,1,0,0,1,5238,1261,0,3755,20148,1,0,1
34512,40467,1311,75.16,25239,3206,34725,2,0,0,15956,0,1,0,1,0,2,3438,20840,2,3345,20148,1,0,0
28975,5960,117,75.46,25643,8101,32532,2,0,1,21995,1,0,2,1,2,1,8684,7,1,7001,20148,1,1,1
46111,15554,1271,49.03,31797,35407,8604,1,0,2,999,1,0,2,1,2,2,18780,25813,2,5143,20148,1,0,0
5032,1068,308,85.28,33872,3830,1996,1,0,0,7137,1,0,1,0,0,2,19948,20716,0,3417,5373,1,1,1
58316,54095,545,6.44,11764,22414,31858,1,1,0,25777,1,1,0,1,1,2,8074,21430,0,1536,20148,1,0,0
26896,45972,572,22.17,14623,32187,7359,2,0,0,39157,1,1,0,1,1,1,14192,17992,1,2266,7297,0,0,1
1031,40417,1474,29.66,30975,13909,22096,1,0,2,16547,0,1,0,1,2,1,28677,2522,0,24,20148,1,1,0
57124,48417,1363,10.75,27096,30358,35322,2,1,1,24710,0,0,1,0,0,0,9060,13345,0,2488,20148,0,1,1
32979,3852,443,42.14,36403,18563,20453,2,1,0,7889,1,0,2,1,1,0,31972,4961,0,6260,6077,0,0,1
59738,44531,1026,77.73,2815,34053,37217,1,1,1,12096,1,1,0,1,2,1,24927,29965,0,6239,20148,1,1,0
25022,6593,554,97.82,35708,13995,14456,1,0,0,39052,0,0,2,1,0,0,3926,22661,0,455,19718,0,0,0
10584,23178,649,83.36,8053,1711,29229,0,1,2,37807,0,0,1,0,0,0,9629,15751,2,8615,9720,1,0,1
23934,57206,1378,40.71,17257,3769,28732,1,0,0,26633,0,1,2,0,0,2,19500,17919,2,2801,10138,0,0,0
57819,10509,107,1.33,14175,11871,25211,0,1,2,32741,1,0,0,1,1,0,11900,18124,0,5798,3246,0,1,0
49005,19289,317,56.92,32292,4676,2452,0,1,2,25843,0,1,0,0,1,1,17896,18134,0,5145,18106,0,0,1
56497,23998,875,0.9,13561,18493,18296,0,1,2,35952,0,1,0,1,0,0,4002,13596,1,8243,11325,1,1,1
32348,12619,576,77.7,24542,33741,13440,2,1,0,4084,1,1,0,0,0,1,25135,26444,1,7486,20148,0,1,0
23870,21385,619,67.56,33242,17667,33737,1,1,1,12597,0,0,1,1,2,0,27010,31424,1,8229,20148,0,1,1
46895,63852,1224,91.82,10010,13415,22475,1,1,2,21819,0,0,2,0,2,2,29111,16166,2,3005,20148,1,0,1
11468,31398,632,50.13,27962,24019,28832,1,1,1,39862,1,1,2,0,2,1,8936,11835,2,1332,20148,0,1,0
30954,3615,670,41.53,25267,12654,27353,2,0,2,36128,1,1,1,1,0,1,20870,6688,0,3229,20148,0,1,1
59009,28541,88,91.21,300,27570,20911,0,1,2,20362,1,1,0,1,0,0,3073,15309,2,8483,20148,0,1,1
38169,9878,1497,82.8,12873,4952,10850,1,0,2,19004,1,0,2,1,1,1,27846,12953,2,1245,19962,1,0,1
35384,2184,304,78.85,313,11395,36656,0,1,0,5333,1,1,1,0,1,0,23853,23063,0,5951,2437,0,1,0
22371,4914,1001,50.69,18734,18363,17620,0,1,2,21460,0,0,0,0,1,1,32302,16009,0,3261,16175,1,1,0
10510,4024,1352,75.3,27894,4660,34137,2,1,2,8159,0,1,2,0,2,0,8975,19494,1,4848,20148,1,0,1
57482,1091,548,33.08,27876,33115,15606,2,1,1,20046,1,1,0,1,0,1,15853,21481,2,3956,13314,1,0,1
7703,19110,1114,7.27,1932,32482,13410,2,1,0,32310,1,0,1,0,2,0,4927,22135,1,8653,11171,1,0,1
33992,31136,149,76.68,30665,21913,7044,1,1,0,36330,0,0,0,1,1,1,13608,13033,0,7528,20148,1,0,1
55666,4791,548,36.22,30584,16514,21096,1,1,1,30010,0,0,1,1,2,2,27162,19540,2,995,20148,1,0,0
20947,24568,1106,13.36,21320,37987,15985,2,0,2,12866,0,0,2,0,2,0,16410,17241,2,6109,14008,1,0,0
38322,33655,1290,69.01,1703,11229,34158,2,0,1,7162,0,1,1,1,1,1,14182,1189,1,313,20148,1,0,1
15973,29809,190,4.74,11810,4918,24081,2,1,0,38518,0,0,0,1,2,0,7357,20641,0,7978,15638,1,0,0
5107,60905,995,51.66,7283,16825,1567,0,0,0,24061,1,0,2,0,2,0,26718,29372,2,826,20047,0,1,0
15067,58291,1342,83.86,31663,18779,30236,1,0,2,29806,0,0,1,0,0,0,24523,3367,1,8131,11879,0,1,0
18782,24516,722,79.61,11331,24313,27401,0,1,2,9194,1,0,2,0,1,2,8422,7936,2,2014,3614,0,0,0
44364,53766,1181,14.95,36151,37380,17827,0,0,0,37719,1,0,2,1,0,1,30770,8331,0,3335,20148,1,0,1
11307,36569,907,12.1,5139,34379,20952,1,0,0,16710,1,1,2,1,2,2,31797,17903,1,8525,843,0,1,0
62568,27834,1427,3.33,5347,20393,6021,0,1,2,15535,0,1,1,0,1,0,16511,17938,1,3471,20148,1,1,1
16019,14834,793,18.93,2170,32426,11121,2,0,2,3555,0,0,1,0,0,1,14145,19563,1,754,20148,1,1,1
54052,10368,686,96.83,1919,29419,23716,0,0,0,39719,1,1,0,0,1,1,11682,17940,1,2824,20148,1,1,1
40014,9720,1092,82.75,37256,27673,18138,2,1,0,16799,1,0,1,0,2,1,15875,12941,2,6927,3909,0,1,0
55034,52843,492,88.16,31687,25608,29363,2,1,2,6838,1,0,1,1,2,0,13399,26911,0,7831,20148,1,0,1
31548,18263,811,45.33,13438,37469,38586,2,1,1,7438,0,1,2,1,0,2,29187,17920,2,969,20148,1,1,1
14156,14806,1444,91.08,13691,25889,15531,0,0,2,32188,0,1,1,0,2,1,23425,13675,0,4702,20148,1,0,0
7828,38216,423,45.27,36333,13476,14063,2,0,0,35123,1,0,1,1,2,1,6592,21785,1,6442,16760,0,1,0
53318,29162,744,51.59,16100,24282,14806,1,1,2,21436,0,1,2,1,1,1,25906,15410,0,1240,20148,0,0,0
15743,33364,173,73.69,10353,19551,11787,1,0,2,6063,0,0,1,0,1,1,30316,24175,2,6644,20148,0,0,1
27274,28937,340,27.25,39197,29033,34541,0,1,2,37010,1,0,1,0,0,0,11038,16583,1,2805,20148,1,1,1
13393,3334,1082,81.43,32423,1760,27718,0,0,1,4865,1,0,2,0,2,1,8894,16649,0,8031,13533,0,1,1
35332,61817,876,89.28,23836,3860,26589,0,0,0,5167,1,1,1,0,0,1,29525,4275,0,8682,8930,1,1,0
47821,52974,1319,43.95,7809,35397,28690,2,1,0,36754,0,1,1,0,1,2,22605,18878,1,2083,20148,0,1,0
4384,31482,976,1.31,38090,9413,5387,1,1,0,33935,0,0,0,0,0,2,13193,22587,0,3083,20148,1,0,0
27807,53451,985,98.14,30650,6091,12978,2,0,2,6804,1,0,2,1,2,0,21344,30626,0,7668,20148,1,1,1
39737,17067,902,84.95,2148,437,10813,0,1,1,22153,0,1,2,0,2,2,10218,2330,1,4676,20148,1,0,0
16224,48472,889,14.56,6271,37782,32981,2,0,2,28176,0,1,2,1,0,2,4281,23724,2,8605,19668,0,1,0
31907,51180,1492,31.8,23415,9669,35606,1,1,2,16920,1,1,2,1,2,2,31086,13678,1,1841,20148,0,1,0
26586,17971,787,3.7,33049,11949,23021,2,0,0,37275,0,0,2,1,2,1,22916,18054,0,6496,919,1,1,1
25179,13739,1070,97.64,29492,35261,9666,0,0,2,3433,1,1,1,1,2,2,12573,25507,2,6702,13410,1,1,1
47513,9156,1455,58.19,20076,13653,14249,2,0,1,33327,0,0,0,0,1,0,12881,16165,2,2898,14169,1,1,0
12215,50585,640,10.44,21101,38658,34736,1,0,2,14293,1,0,1,0,0,2,29843,5427,2,4946,20148,0,0,1
19199,27928,1178,5.39,19193,5732,19313,0,1,2,10459,0,0,2,1,1,0,11519,18126,2,8177,15927,0,0,1
26123,7023,158,91.79,24463,32317,23692,0,1,2,16879,0,1,1,0,1,2,11926,19667,1,6634,14773,1,1,1
22345,60531,1409,70.26,23311,14383,21998,0,1,1,4739,0,0,1,1,1,1,3069,18213,2,3405,6906,1,0,1
55305,60529,866,86.55,30109,31658,3626,2,0,0,32003,1,1,2,0,1,2,17228,17733,1,1591,2290,0,1,0
48262,22039,343,11.11,34426,8852,4533,1,1,2,842,0,1,2,1,0,2,32156,8565,2,1913,20148,1,1,0
22623,16469,531,71.02,9387,23418,19366,0,1,1,16915,1,1,0,1,1,1,5507,18277,2,6677,5439,0,1,1
28872,35773,1387,51.68,2673,21089,32946,0,0,0,28378,1,1,2,1,1,2,18538,24496,2,6129,20148,0,0,0
33910,47951,715,43.23,9901,23167,16670,1,0,2,19634,1,1,0,0,1,0,23975,14539,2,6276,20148,0,1,0
42864,48696,765,47.31,29991,32721,23322,0,0,0,9508,0,0,1,0,0,1,4385,21730,2,6841,9901,0,0,1
52040,21434,646,77.67,8355,31907,35079,1,1,0,25524,1,1,1,1,1,1,12798,20031,2,752,17139,1,1,1
48973,47133,1142,20.66,37254,14668,1670,1,0,2,30994,0,0,1,1,1,1,21174,25075,0,1402,17403,1,1,1
8137,20031,1005,90.92,37326,28838,28427,0,0,1,30400,0,0,2,0,0,1,25475,4723,2,1385,4649,1,0,0
55509,5152,984,64.89,26089,8053,3670,0,1,1,4266,1,1,0,0,2,1,15373,19180,1,6897,20148,1,1,1
41801,19629,512,77.07,38238,8773,2029,2,1,2,39096,0,0,1,0,0,1,25034,26270,0,1342,7903,1,1,1
62889,50054,1191,53.38,18566,21118,36434,2,1,0,39546,0,1,1,0,2,1,22214,12082,1,4729,20148,0,0,1
45613,2799,527,22.74,36975,4904,2327,0,0,0,15169,1,1,0,0,2,0,25680,20438,0,6894,20148,0,1,0
59752,42693,1388,81.87,10671,12663,39651,1,0,1,22062,1,1,2,1,0,0,26532,8186,1,1587,20148,1,1,0
51523,35455,425,98.62,38482,38323,33750,1,0,0,34340,1,1,0,0,2,0,27688,902,0,5478,20148,1,0,0
13158,15042,491,14.41,38237,24984,9205,2,0,1,37028,1,1,0,1,0,0,19139,10425,2,6363,20148,1,1,0
18221,25776,668,41.28,33836,18651,9440,0,0,2,19707,0,0,0,1,1,2,18961,713,0,4606,20148,0,0,1
23041,49310,1127,36.28,11412,4876,23705,1,1,0,292,1,1,0,1,2,0,25670,18162,1,5163,15544,1,0,0
62891,50690,1292,61.3,8054,34676,1288,1,0,1,5351,0,0,2,0,1,0,23687,23542,0,5696,16580,1,1,0
2887,60489,1026,36.95,5559,18342,38174,2,1,0,9101,0,0,1,0,1,2,924,17988,1,2407,20148,1,0,0
40397,45649,712,55.44,2328,14856,35721,1,0,1,20509,0,0,1,1,2,0,22454,27898,0,6478,5734,0,0,0
54438,5822,1310,69.73,20803,30701,8912,0,1,2,3935,1,1,2,0,1,2,11421,6202,1,1307,20148,1,0,0
20302,11700,1409,2.88,27943,29417,20607,2,1,2,11758,0,1,1,0,2,2,26295,23552,2,5795,20148,0,0,1
33051,29949,939,23.53,20862,31249,21438,2,1,2,32947,0,0,0,1,0,2,30249,20904,1,6546,12827,0,1,0
39597,14517,361,97.16,36761,11520,29439,2,0,0,7342,1,0,1,1,0,1,13503,18032,1,8156,6527,1,1,1
58860,54145,723,32.02,19051,21006,20916,0,0,1,1922,1,1,2,1,1,2,5157,6743,0,3759,3938,1,1,0
63422,60576,1409,2.26,25437,34888,34842,1,1,0,30368,0,0,2,1,0,2,6407,14652,1,6643,9073,0,0,0
16307,12755,354,10.59,24481,7712,18573,0,0,2,36881,1,0,0,0,1,1,29622,28222,2,2153,20148,1,0,1
30570,50212,876,4.38,37754,30332,15812,2,0,1,21405,0,0,2,0,2,2,30271,12616,1,7273,20148,1,1,1
25983,4283,254,75.09,38405,23031,11487,2,1,2,542,1,1,0,0,1,1,1207,18255,2,3851,10181,1,0,1
58743,25449,1100,28.13,25722,18660,21283,2,1,1,20120,1,0,1,0,0,1,28338,21091,0,4859,20148,0,0,0
52181,46157,574,26.7,19178,30438,29649,1,1,1,6469,1,0,0,0,1,1,8903,17455,0,8244,20148,1,1,1
7193,39284,167,98.88,34419,27445,26843,0,0,0,9964,1,1,1,0,2,1,10307,13665,2,6212,20148,0,0,0
13042,10486,814,81.92,32739,32903,8980,2,0,0,25860,0,1,2,0,2,1,22937,16400,2,6478,4775,1,1,0
29637,50534,121,31.48,29712,18966,23212,2,1,1,23458,1,1,2,0,1,0,7819,12250,0,2537,20148,0,1,0
65102,45442,863,60.18,36491,29253,26557,2,0,2,1971,0,1,2,1,1,1,1017,3385,2,7863,17506,1,0,1
37151,12711,187,70.62,11347,29331,31124,0,1,2,25377,1,0,1,1,2,0,32093,16596,2,8692,14030,1,0,1
51862,11423,1347,81.66,27307,4926,38467,2,1,0,10646,1,0,0,0,0,0,6179,7973,1,3071,9398,1,1,0
54995,28483,709,70.34,39067,37593,3391,0,0,1,17322,1,0,2,0,0,2,23286,18026,2,6327,14755,1,1,0
42812,8453,591,1.19,17330,38050,21285,0,0,0,8668,0,1,1,0,2,1,19753,17914,0,2306,10472,1,1,0
16640,37110,1043,20.86,17252,14831,31861,1,1,0,19257,1,0,2,0,1,2,26154,18137,1,5970,20148,1,1,1
5626,53262,226,46.97,14941,26453,30115,2,0,1,20467,1,0,0,1,2,1,16555,22201,1,7756,17056,1,1,0
49851,27301,631,23.82,12750,11375,10172,0,0,1,1158,1,1,2,0,1,0,13457,29189,0,5188,20148,0,1,0
13197,54254,609,56.0,1898,5039,29528,0,0,1,32142,0,0,0,1,2,2,7777,18006,0,66,9161,1,1,0
51264,36338,1132,15.8,11608,327,3739,0,1,2,23017,0,0,1,1,1,0,15110,1497,0,4319,17932,0,0,1
63406,8837,941,51.0,32580,17214,10442,0,1,1,20332,0,1,0,1,2,0,18721,3482,2,3600,20119,0,1,0
46797,24409,525,28.61,15769,11540,27024,0,1,2,4921,1,0,1,1,2,0,7483,9699,1,5805,19736,1,1,0
1753,16107,706,68.84,2575,37842,22133,2,0,2,38270,0,1,1,1,2,1,14334,18051,1,7178,20148,0,1,0
59666,17863,1438,61.62,23947,5207,17952,2,0,0,1115,1,1,0,1,2,1,4651,22614,1,4955,14947,1,0,1
45243,43947,558,64.44,2258,1082,7322,1,0,0,28310,1,1,0,1,1,2,17881,18144,0,3838,9580,1,1,0
63488,7024,1485,11.94,37027,21695,29368,0,1,0,19465,0,0,0,1,1,1,3293,8624,2,7768,20148,0,0,0
26653,61828,1103,91.04,7145,20417,11529,2,0,0,4469,1,0,1,0,1,0,3400,30102,1,4053,20148,0,0,1
16791,13072,192,83.16,11082,31398,29923,0,1,1,37463,1,0,0,0,2,0,23749,27860,1,2960,20148,1,1,1
23731,61767,1307,52.98,24457,30619,34141,2,1,0,29475,1,0,0,1,1,0,23844,7810,0,5820,20148,1,0,0
21488,29508,882,20.25,2195,22408,26123,0,0,1,10570,1,0,1,1,2,0,14897,6532,2,5461,20148,0,0,0
13374,61256,1364,78.06,31215,33971,38161,1,0,2,11571,1,1,2,0,0,2,27005,6269,0,221,20148,1,0,0
53218,46503,1368,0.12,26428,31810,2400,1,1,1,23235,0,1,1,1,2,1,28050,21987,2,7438,20148,0,1,0
15241,28035,418,87.11,4480,20695,31364,1,1,2,20081,0,1,0,1,0,2,15472,8917,0,2071,18127,1,0,1
6583,50994,878,13.21,12649,25410,37268,0,0,2,23012,1,1,0,1,0,0,17662,9500,1,4807,12972,1,1,0
1069,27287,1358,17.75,11437,24647,38470,2,1,2,1464,1,1,1,0,1,1,15040,30049,2,3422,4516,1,1,0
59250,54771,721,7.38,30615,29084,35062,2,1,2,12439,1,1,0,0,1,1,10126,30364,2,559,10343,0,0,0
3816,53453,1084,53.02,20958,35984,4584,1,0,0,23166,0,1,2,0,2,1,11688,8738,0,3945,20148,0,0,1
63776,58671,399,53.91,23444,17169,450,2,0,2,27683,1,0,0,1,2,0,26006,25317,0,8493,20148,0,1,1
31713,13845,980,27.15,4822,10419,36155,0,1,1,1382,0,0,0,1,0,1,13892,22680,0,2102,15022,0,1,0
57940,21434,1144,69.65,31315,6908,30317,2,1,1,31820,0,1,2,0,1,2,1883,2963,0,6491,19140,0,0,1
4033,47128,423,29.25,34256,22066,28852,1,0,1,38588,1,0,2,1,0,1,26832,18185,2,5423,14127,1,1,1
39822,55660,580,20.55,29078,24207,2254,0,1,1,11913,0,1,0,0,1,1,20238,6180,2,5049,2280,0,1,1
21364,7436,770,85.22,5597,27854,2128,0,1,1,10082,1,0,1,1,2,0,30373,3570,0,2778,20148,0,0,1
54091,17340,308,40.87,29757,19092,34495,2,1,0,32923,0,0,1,0,2,2,5530,18024,0,1958,20148,0,0,0
56288,33177,438,19.3,10458,7950,35119,0,1,0,28246,0,0,1,1,0,1,30636,15636,0,5478,14737,0,0,0
19944,51870,587,53.08,10329,11306,2534,1,0,0,16570,0,0,0,1,0,1,22932,17979,0,5416,20148,1,0,1
61939,60901,665,50.59,28672,11946,20873,1,0,0,14123,0,1,2,0,1,1,10822,7819,2,3838,20148,1,0,0
5617,22614,717,71.35,11811,21627,3396,2,0,2,33085,0,0,0,1,1,1,2653,24424,2,729,796,1,0,1
21202,63110,1407,88.21,19286,21899,17543,0,0,1,1924,0,1,0,1,2,0,15027,15779,0,7506,20148,0,1,0
6968,31173,1090,2.09,4504,1200,4183,1,1,1,4373,1,0,1,1,1,1,2517,13852,2,2911,18832,0,1,0
45151,33913,381,67.74,30174,16097,30132,0,0,1,18550,0,0,2,0,2,0,12814,18847,1,1698,20148,0,0,0
61227,23677,802,40.88,24393,16505,11461,0,1,1,18152,1,0,1,1,1,0,1085,1695,2,6937,20148,0,0,0
9697,19057,574,68.95,11336,35100,7639,1,1,1,22078,0,1,0,0,1,0,8129,17961,1,1402,20148,0,0,1
10057,33783,1152,47.58,17820,9261,34093,2,0,0,16691,1,1,1,0,1,1,6575,18187,1,6744,2088,1,1,0
40356,33067,350,28.97,8072,757,16880,2,1,0,3070,1,0,2,1,1,1,24132,18255,1,239,11311,1,0,0
24450,40274,1240,8.21,29034,26306,31190,1,1,0,38309,0,1,2,1,0,1,13393,10371,0,2788,19724,0,1,0
9225,42698,591,12.55,14989,9282,16326,1,1,2,4998,1,1,0,0,0,1,30549,22100,1,2556,20148,1,0,1
8624,52609,497,14.2,13102,21074,29503,1,0,0,5261,1,0,2,0,1,0,16358,18017,0,8622,6796,1,0,0
4605,46797,185,42.76,3003,16363,26569,2,0,2,35269,1,0,0,0,2,2,24466,13516,2,7541,20148,1,0,1
40124,23142,72,6.09,39735,21185,14225,1,1,1,22964,1,1,1,0,0,0,20146,8626,1,5640,20148,1,0,1
47241,19795,363,0.19,33896,17836,8703,1,1,0,3158,1,1,0,0,2,1,6068,20994,0,4998,9265,1,0,1
31749,56290,305,59.04,35223,14876,14899,1,0,0,8456,0,1,2,1,0,1,5589,3932,2,740,13285,1,1,0
39097,11281,1201,7.62,8571,22929,29839,2,1,1,25182,0,1,2,0,0,2,7426,19370,1,4722,20148,1,1,1
47361,25611,638,33.73,32801,8416,32947,2,1,2,26559,1,0,0,1,1,1,12206,30269,2,5064,20148,0,1,1
62568,43207,1428,23.75,3224,4620,11228,0,1,0,27969,0,1,0,0,2,1,7867,18127,2,8545,20148,1,0,1
64069,17764,863,81.2,16809,37824,4758,1,0,0,15459,0,1,2,0,0,1,26476,24906,0,2539,20148,1,0,1
47307,22903,283,43.69,22602,39175,2361,0,1,1,20454,1,1,0,0,2,1,8513,26863,1,2015,3944,0,1,0
49233,57114,556,71.76,23274,32617,23367,1,0,0,2787,0,1,2,0,2,0,2582,12263,1,8219,5370,1,0,0
28163,54197,482,93.61,17926,18278,27147,1,0,0,1258,0,1,0,1,2,1,10028,17798,2,3905,20148,0,1,1
44775,28188,1158,38.07,29577,19391,10525,1,0,1,39953,1,0,1,0,0,1,28537,29770,0,823,4160,1,0,1
24411,28104,791,59.34,12585,2440,12990,2,0,2,4213,0,0,1,1,2,0,16056,1302,2,3484,20148,0,0,0
4226,25237,956,12.72,11402,19454,2126,0,1,2,17872,1,0,1,0,2,1,27132,3743,0,1603,20148,0,1,0
57999,55997,195,88.25,10590,21064,36673,2,0,0,8165,0,1,2,1,0,0,8385,17991,2,5250,2239,1,1,0
52233,37396,960,13.57,6253,6699,38536,1,1,1,18499,0,0,2,1,0,0,7762,18059,1,4094,3338,1,0,0
30658,5272,670,73.58,19123,13138,37505,2,0,0,25104,1,1,2,0,2,2,23990,17953,2,4546,15600,0,1,0
16161,30577,432,30.26,7560,6576,3306,1,1,0,19908,1,0,0,0,1,1,27671,18115,1,7870,4078,1,1,1
51950,27368,558,84.4,19431,4175,33289,2,0,1,33013,0,1,2,1,2,0,13295,13781,0,8129,6147,1,1,0
13125,15039,969,48.49,4552,17993,32108,2,0,1,32111,0,1,1,1,2,1,16977,18125,2,719,20148,1,1,1
12234,19426,1089,76.24,31981,16594,11198,2,1,2,39726,0,1,1,0,2,2,17816,4304,0,7022,2271,0,0,1
29590,33277,992,41.04,34513,4771,37067,1,0,1,4866,1,1,1,1,1,0,23467,2863,1,6674,20148,0,1,0
3205,25333,1418,96.96,29293,13440,32074,2,1,2,38520,1,0,2,1,0,1,29339,31621,1,18,14932,0,1,0
24743,13223,1483,63.6,5548,19997,38257,2,0,1,1494,1,1,0,1,0,2,12502,18792,2,4392,16557,0,0,0
7954,19350,1104,64.34,27614,6297,12597,1,1,1,1404,0,0,0,1,2,2,11162,3207,1,3339,10774,0,1,0
12945,23374,514,52.99,36390,31912,18734,0,1,2,4552,1,0,1,1,1,1,28845,3423,0,2645,20148,0,0,1
26735,50914,636,84.7,6369,22497,13926,2,0,1,10792,0,0,1,1,2,2,30836,10438,1,5284,20148,1,0,0
54492,43337,358,11.33,33252,14029,4694,2,1,2,21663,0,0,1,1,2,2,18644,30757,1,2603,20148,1,1,1
47759,5860,1061,4.59,25408,1697,28305,2,0,1,9503,0,0,1,1,0,0,17513,27483,2,1362,18303,0,0,0
12441,32298,107,56.53,14094,30707,24632,2,0,1,18653,0,0,2,1,1,0,1834,31976,1,3561,14814,1,0,0
7389,39326,911,77.28,31679,17113,6317,2,1,2,19575,1,0,1,1,0,1,22105,14384,0,5210,20148,1,0,0
24913,3631,1065,27.08,13876,5133,13752,0,0,2,29256,1,0,0,1,1,0,31192,10109,2,5922,13130,1,1,0
17262,5677,932,78.61,29064,37102,9024,1,0,0,23512,0,0,2,0,0,1,24604,8968,1,6469,20148,1,0,1
14923,43610,308,47.7,36829,32458,14177,1,1,0,6899,0,0,1,1,1,1,6979,21484,0,743,20148,1,1,1
